id,title,cluster,clean_text
1r2ugsz,Big blimp uses blades to pull wind power out of the sky,15,Big blimp uses blades to pull wind power out of the sky
1r2k67c,Engineers Just Developed a Perfect Material for a Truly Unsinkable Ship,15,Engineers Just Developed a Perfect Material for a Truly Unsinkable Ship
1r1y4dy,Sugar molecules used to destroy antibiotic-resistant bacteria,15,Sugar molecules used to destroy antibiotic resistant bacteria
1r12llt,A quick stretch switches this polymer’s capacity to transport heat,15,A quick stretch switches this polymer s capacity to transport heat
1r05d9m,"Harvard engineers 3D-print soft robots that bend, twist, grasp, and move on command",15,Harvard engineers 3D print soft robots that bend twist grasp and move on command
1qz9ri2,3D-printed batteries aim to reshape energy storage in small devices,15,3D printed batteries aim to reshape energy storage in small devices
1qz3n1m,Breakthrough: Scientists Created a 'Universal' Kidney To Match Any Blood Type,15,Breakthrough Scientists Created a Universal Kidney To Match Any Blood Type
1qyj2fh,Sixteen Claude AI agents working together created a new C compiler,14,Sixteen Claude AI agents working together created a new C compiler
1qyf0di,This fusion energy startup thinks it can cut lasers out of the equation,15,This fusion energy startup thinks it can cut lasers out of the equation
1qxil2p,Wood scraps turn 'useless' desert sand into concrete,15,Wood scraps turn useless desert sand into concrete
1qwz2os,"People Could Be ‘Resurrected’ in Robotic Bodies One Day, Futurist Believes. Now He’s Taken the First Step.",15,People Could Be Resurrected in Robotic Bodies One Day Futurist Believes Now He s Taken the First Step
1qwni2u,A New AI Math Startup Just Cracked 4 Previously Unsolved Problems,15,A New AI Math Startup Just Cracked 4 Previously Unsolved Problems
1qwmeyk,Microneedle patch uses bubbles to fight stubborn acne,15,Microneedle patch uses bubbles to fight stubborn acne
1qvy73x,AI model OpenScholar synthesizes scientific research and cites sources as accurately as human experts,17,AI model OpenScholar synthesizes scientific research and cites sources as accurately as human experts
1qvp4hl,Underwater 3D printing is edging in to transform maritime construction,15,Underwater 3D printing is edging in to transform maritime construction
1quuj34,The Large Hadron Collider will now heat homes as well as smash particles,15,The Large Hadron Collider will now heat homes as well as smash particles
1qtwjfo,Engineers just found a way to cool quantum systems using microwave noise,0,Engineers just found a way to cool quantum systems using microwave noise
1qtr5ht,"Toxin Stops Colon Cancer Growth, Without Harming Healthy Tissue",15,Toxin Stops Colon Cancer Growth Without Harming Healthy Tissue
1qszrap,New ultrasound pad aims to make prenatal visits less unpleasant,7,New ultrasound pad aims to make prenatal visits less unpleasant
1qsqfpv,New Drug Stops Weight Gain and Lowers Cholesterol by Targeting Nitric Oxide,15,New Drug Stops Weight Gain and Lowers Cholesterol by Targeting Nitric Oxide
1qsf709,48 hours without lungs: artificial organ kept man alive until transplant,15,48 hours without lungs artificial organ kept man alive until transplant
1qs4hg4,Hybrid jet engines work to excel where pure-electric jets fail,15,Hybrid jet engines work to excel where pure electric jets fail
1qrata5,Chip stress-tests blood cells to see if donated blood is still good enough,15,Chip stress tests blood cells to see if donated blood is still good enough
1qr22va,"Days numbered for 'risky' lithium-ion batteries, scientists say, after fast-charging breakthrough in sodium-ion alternative",15,Days numbered for risky lithium ion batteries scientists say after fast charging breakthrough in sodium ion alternative
1qq9h2y,Radio capsule lets doctors know when patients miss their meds,15,Radio capsule lets doctors know when patients miss their meds
1qq4imf,Unlocking defect-free graphene electrodes for transparent electronics,15,Unlocking defect free graphene electrodes for transparent electronics
1qpyl7w,Scientists Identify an Epigenetic Switch That Can Slow Production of Fat Cells,15,Scientists Identify an Epigenetic Switch That Can Slow Production of Fat Cells
1qpok5x,Scientists achieve pancreatic tumour regression in breakthrough study,6,Scientists achieve pancreatic tumour regression in breakthrough study
1qpferj,Goodbye to fragile solar cells: New method makes them almost eternal,15,Goodbye to fragile solar cells New method makes them almost eternal
1qpcts9,A new chemical trick could extend lithium-ion battery life without redesigning cells,15,A new chemical trick could extend lithium ion battery life without redesigning cells
1qoi3w1,Models that improve on their own are AI's next big thing,15,Models that improve on their own are AI s next big thing
1qofe50,Electrifying boilers to decarbonize industry,12,Electrifying boilers to decarbonize industry
1qo12gu,Using amino acids as fuels to make conductive graphene,15,Using amino acids as fuels to make conductive graphene
1qnleri,This Immune Therapy Repaired Gut Damage for a Full Year,15,This Immune Therapy Repaired Gut Damage for a Full Year
