id,title,cluster,clean_text
1r2ugsz,Big blimp uses blades to pull wind power out of the sky,3,Big blimp uses blades to pull wind power out of the sky
1r2k67c,Engineers Just Developed a Perfect Material for a Truly Unsinkable Ship,2,Engineers Just Developed a Perfect Material for a Truly Unsinkable Ship
1r1y4dy,Sugar molecules used to destroy antibiotic-resistant bacteria,1,Sugar molecules used to destroy antibiotic resistant bacteria
1r12llt,A quick stretch switches this polymer’s capacity to transport heat,0,A quick stretch switches this polymer s capacity to transport heat
1r05d9m,"Harvard engineers 3D-print soft robots that bend, twist, grasp, and move on command",2,Harvard engineers 3D print soft robots that bend twist grasp and move on command
1qz9ri2,3D-printed batteries aim to reshape energy storage in small devices,0,3D printed batteries aim to reshape energy storage in small devices
1qz3n1m,Breakthrough: Scientists Created a 'Universal' Kidney To Match Any Blood Type,1,Breakthrough Scientists Created a Universal Kidney To Match Any Blood Type
1qyj2fh,Sixteen Claude AI agents working together created a new C compiler,2,Sixteen Claude AI agents working together created a new C compiler
1qyf0di,This fusion energy startup thinks it can cut lasers out of the equation,3,This fusion energy startup thinks it can cut lasers out of the equation
1qxil2p,Wood scraps turn 'useless' desert sand into concrete,0,Wood scraps turn useless desert sand into concrete
1qwz2os,"People Could Be ‘Resurrected’ in Robotic Bodies One Day, Futurist Believes. Now He’s Taken the First Step.",2,People Could Be Resurrected in Robotic Bodies One Day Futurist Believes Now He s Taken the First Step
1qwni2u,A New AI Math Startup Just Cracked 4 Previously Unsolved Problems,2,A New AI Math Startup Just Cracked 4 Previously Unsolved Problems
1qwmeyk,Microneedle patch uses bubbles to fight stubborn acne,1,Microneedle patch uses bubbles to fight stubborn acne
1qvy73x,AI model OpenScholar synthesizes scientific research and cites sources as accurately as human experts,2,AI model OpenScholar synthesizes scientific research and cites sources as accurately as human experts
1qvp4hl,Underwater 3D printing is edging in to transform maritime construction,2,Underwater 3D printing is edging in to transform maritime construction
1quuj34,The Large Hadron Collider will now heat homes as well as smash particles,3,The Large Hadron Collider will now heat homes as well as smash particles
1qtwjfo,Engineers just found a way to cool quantum systems using microwave noise,3,Engineers just found a way to cool quantum systems using microwave noise
